first_name,last_name,email,product_id,qty,amount,invoice_date,address,city,stock_code,job
Malik Rodriguez,Kelly Leach,vcook@example.com,177,8,96.91,2002-07-05,666 Lowe Square,Gabrielaberg,71802916,"Nurse, adult"
Maria Rivera,Benjamin Owens,brownkaren@example.org,186,9,97.64,2020-07-12,969 Morgan Fords,Ronaldmouth,59275015,Minerals surveyor
Julia Price,Margaret Clark,rachel23@example.net,132,9,98.09,2001-04-03,339 Kennedy Vista,Ericside,38629150,Location manager
Thomas David,David Park,robert41@example.org,148,1,95.86,2005-10-09,868 Weiss Heights Suite 655,Valenciafurt,36359776,"Pharmacist, hospital"
Angela Campbell,Jordan Davis,colelisa@example.com,129,9,96.16,1970-02-08,4164 Vanessa Neck,Port Kimberly,22210302,"Civil engineer, contracting"
Laura Thompson,Thomas Roberts,davisrobert@example.com,137,6,97.47,1989-04-05,29692 Matthew Lock,Lake Zacharyborough,66178620,Community arts worker
Luis King,Hayley Beard,pjackson@example.net,173,7,97.54,1976-09-11,7931 Elizabeth Unions Suite 432,West Bianca,28359142,"Biochemist, clinical"
Thomas Green,Douglas Jackson,crosbynicole@example.org,146,7,96.5,2009-01-08,1921 Marc Walk Suite 994,Williamsfort,68274931,Product designer
Cheryl Hunt,Javier Nguyen,camerondavis@example.com,143,8,98.25,2016-12-08,5892 Wheeler Estates Suite 696,Charlesborough,70992359,Historic buildings inspector/conservation officer
Katherine Tucker,Natalie Reilly,bschwartz@example.com,104,4,99.85,2002-02-11,8175 Garcia Course,West Erintown,28225713,"Producer, radio"
Rachel Wilkins,Kimberly Sullivan,desireevargas@example.net,120,8,97.96,1978-07-02,66596 Lisa Locks Apt. 203,Mitchellville,24488440,Magazine features editor
John Watts,Laura Washington,brittanynguyen@example.org,184,9,96.17,2014-05-10,93868 Jones Harbors,Crystaltown,33884240,"Designer, exhibition/display"
Nathaniel Payne,Nicole Lawson,duncanaaron@example.com,126,6,97.65,1998-05-05,15336 Hall Summit Suite 727,Hollyland,3734315,Broadcast journalist
Nathaniel Figueroa,Luke Crosby,michaelrush@example.org,171,8,95.84,2002-02-11,39835 Nicholas Avenue Apt. 070,Benjaminmouth,55022583,Animal technologist
Bryan Carpenter,Whitney Manning,jeremyaustin@example.net,129,3,95.48,2018-06-12,952 Mills Run,North Laura,97520801,Furniture conservator/restorer
Jeffrey Valdez,Kevin Bauer,uarcher@example.org,112,6,97.41,2006-11-11,58849 Tina Drive Apt. 476,Morrisonmouth,86789981,Press sub
Ryan Jensen,Gina Cruz,calhounalicia@example.org,175,6,96.79,2019-03-06,595 Wright Mount Suite 865,Michelleburgh,39893369,Management consultant
Angela Roth,Travis Brown,kaitlyn96@example.net,182,1,99.62,2008-09-11,8843 Anderson Shore Suite 488,New Christophershire,2667010,"Accountant, chartered management"
Jason Rosales,Rebecca Green,meganjuarez@example.net,136,6,97.6,2009-06-03,9506 Monica Rapid,New Melissa,45846212,Senior tax professional/tax inspector
Howard Wagner,Caroline Thomas,westdustin@example.com,184,3,95.26,1983-10-08,41203 Finley Valleys,Tristanshire,88251974,"Designer, industrial/product"
Melissa Collins,Patrick Shelton,igarner@example.com,116,9,97.83,1985-03-03,32821 Reynolds Mission,Taylormouth,46996053,Medical sales representative
Lisa Jenkins,Nathan Lopez,soliskelly@example.org,120,6,97.57,1984-05-07,095 Jennifer Common,Port Rachelport,55641654,Armed forces technical officer
Jose Ramirez,Adam Gates,donna36@example.org,100,2,99.36,1999-07-06,742 Tiffany Road Apt. 610,Paulborough,92417144,Physiotherapist
Derrick Clark,Elizabeth Riddle,marcortiz@example.com,176,1,96.45,1986-02-11,760 Farrell Plaza Suite 423,Amytown,68020576,"Therapist, music"
Danielle Williamson,David Sullivan,petersonangelica@example.org,117,7,95.58,1970-10-11,6748 Rodriguez Views Suite 928,Millerstad,48768962,Control and instrumentation engineer
Donald Sharp,Rachel Cardenas,jodisanchez@example.net,152,2,96.95,2019-06-08,09584 Sean Land,Parkerfurt,45082771,Learning mentor
Joshua Ball,Jeffrey Wu,kmonroe@example.org,131,8,96.94,1980-04-04,020 Shawn Burgs,East David,92008847,Health physicist
Tommy Rogers,Kelsey Douglas,glenn25@example.org,118,1,96.59,2000-09-11,8476 Ramirez Stravenue Apt. 310,Taylorhaven,61915749,Furniture designer
Annette Williams,Charles Martin,theresa15@example.net,112,5,96.38,2002-01-05,07333 Anthony Village,New Seth,23875135,"Engineer, agricultural"
Jordan Smith,Ashley Meyer,melanieking@example.net,129,7,97.98,2008-11-10,429 Nathan Locks Suite 106,New Mark,22821690,Barrister
